,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saskylakh,44,RU,1548700740,79,71.97,114.09,-38.36,3.18
1,punta arenas,40,CL,1548698400,91,-53.16,-70.91,55.4,26.4
2,beira,40,ES,1548698400,81,43.2,-8.36,50.0,4.7
3,torbay,90,CA,1548698400,93,47.66,-52.73,33.8,19.46
4,tasiilaq,76,GL,1548697800,79,65.61,-37.64,21.2,18.34
5,new norfolk,0,AU,1548698400,63,-42.78,147.06,64.4,10.29
6,hermanus,0,ZA,1548700695,38,-34.42,19.24,83.33,6.42
7,dikson,12,RU,1548700718,82,73.51,80.55,-12.75,12.12
8,port alfred,0,ZA,1548700744,80,-33.59,26.89,73.34,25.43
9,cherskiy,12,RU,1548700810,40,68.75,161.3,-26.07,6.76
10,bonavista,92,CA,1548700901,96,48.65,-53.11,32.66,18.84
11,ormara,0,PK,1548700902,94,25.21,64.64,67.67,3.74
12,mataura,0,NZ,1548700677,83,-46.19,168.86,46.83,2.84
13,ilhabela,0,BR,1548700813,98,-23.78,-45.36,83.42,12.68
14,puerto ayora,20,EC,1548698400,58,-0.74,-90.35,87.8,14.99
15,birnin kebbi,0,NG,1548700903,37,12.45,4.2,82.16,3.62
16,saldanha,8,PT,1548700780,71,41.42,-6.55,45.62,9.89
17,avarua,75,CK,1548698400,94,-21.21,-159.78,80.6,13.87
18,qaqortoq,20,GL,1548697800,51,60.72,-46.03,10.4,5.82
19,terrace,75,CA,1548698400,74,54.52,-128.61,33.8,18.34
20,barrow,12,AR,1548700733,90,-38.31,-60.23,83.06,5.19
21,teluk intan,75,MY,1548698400,94,4.02,101.03,78.8,3.4
22,carnarvon,0,ZA,1548700776,12,-30.97,22.13,81.21,6.42
23,hongjiang,92,CN,1548700776,100,27.21,109.83,40.53,3.85
24,kavieng,56,PG,1548700729,100,-2.57,150.8,83.1,7.65
25,hobart,0,AU,1548698400,63,-42.88,147.33,64.4,10.29
26,adrar,0,DZ,1548698400,25,27.87,-0.29,66.2,8.05
27,marawi,48,PH,1548700729,100,8.0,124.29,63.62,1.83
28,tarnogskiy gorodok,76,RU,1548700905,79,60.5,43.58,10.65,6.42
29,butaritari,92,KI,1548700758,100,3.07,172.79,81.71,13.91
30,leshukonskoye,0,RU,1548700905,77,64.9,45.76,-0.47,6.64
31,bredasdorp,0,ZA,1548698400,78,-34.53,20.04,71.6,17.22
32,saint-augustin,0,FR,1548698400,81,44.83,-0.61,44.6,6.93
33,ushuaia,40,AR,1548698400,71,-54.81,-68.31,57.2,27.51
34,kodyma,88,UA,1548700906,97,48.1,29.13,36.75,14.25
35,vila franca do campo,40,PT,1548698400,67,37.72,-25.43,60.8,4.7
36,saint george,75,GR,1548697800,93,39.45,22.34,46.4,0.72
37,buraydah,75,SA,1548698400,100,26.33,43.97,57.2,4.7
38,praia da vitoria,75,PT,1548698400,82,38.73,-27.07,59.0,7.31
39,oranjemund,68,ZA,1548700735,91,-28.55,16.43,62.58,15.59
40,lebu,0,ET,1548698400,37,8.96,38.73,62.6,9.17
41,flinders,88,AU,1548698400,100,-34.58,150.85,69.8,1.12
42,portland,75,US,1548698160,55,45.52,-122.67,48.92,13.87
43,vaini,0,IN,1548700708,62,15.34,74.49,70.05,8.1
44,cidreira,32,BR,1548700731,89,-30.17,-50.22,85.94,1.16
45,salinopolis,48,BR,1548700817,100,-0.61,-47.36,79.82,7.2
46,lata,0,IN,1548700787,77,30.78,78.62,24.06,2.73
47,touros,40,BR,1548698400,58,-5.2,-35.46,87.8,18.34
48,la reforma,20,GT,1548698400,38,14.8,-91.82,89.6,6.93
49,busselton,0,AU,1548700684,100,-33.64,115.35,61.23,15.48
50,powell river,75,CA,1548698400,93,49.84,-124.52,42.8,3.36
51,auki,0,NG,1548700743,28,12.18,6.51,80.45,5.3
52,cape town,0,ZA,1548698400,60,-33.93,18.42,75.2,10.29
53,deputatskiy,64,RU,1548700742,0,69.3,139.9,-42.59,4.41
54,wilmington,1,US,1548700500,39,39.75,-75.55,34.52,6.42
55,thompson,75,CA,1548698400,60,55.74,-97.86,-25.61,13.87
56,bose,0,IT,1548699600,29,45.46,8.01,39.2,2.24
57,preston,20,GB,1548699600,74,53.76,-2.71,42.8,2.24
58,binzhou,64,CN,1548700910,64,37.38,117.96,19.7,2.95
59,uinskoye,0,RU,1548700910,60,56.88,56.58,-2.4,4.18
60,hithadhoo,80,MV,1548700692,100,-0.6,73.08,82.83,11.45
61,ust-maya,20,RU,1548700780,61,60.42,134.54,-34.13,2.73
62,rikitea,48,PF,1548700675,98,-23.12,-134.97,80.4,13.91
63,ostrovnoy,0,RU,1548700768,80,68.05,39.51,-5.06,17.49
64,cabo san lucas,40,MX,1548697560,44,22.89,-109.91,78.8,4.18
65,castro,75,CL,1548698400,63,-42.48,-73.76,66.2,14.99
66,khatanga,48,RU,1548700713,59,71.98,102.47,-33.05,3.51
67,laguna,75,MX,1548697200,34,27.52,-110.01,68.0,2.24
68,sitka,64,US,1548700754,44,37.17,-99.65,39.14,26.55
69,monster,75,NL,1548699900,80,52.03,4.17,42.8,9.17
70,champerico,5,MX,1548697560,47,16.38,-93.6,77.0,3.36
71,coihaique,40,CL,1548698400,45,-45.58,-72.07,66.2,12.75
72,qaanaaq,0,GL,1548700702,75,77.48,-69.36,-12.17,8.99
73,shetpe,88,KZ,1548700913,86,44.14,52.16,38.42,7.2
74,albany,20,US,1548699540,46,42.65,-73.75,21.02,8.05
75,hilo,40,US,1548697980,59,19.71,-155.08,69.98,20.8
76,los llanos de aridane,75,ES,1548698400,63,28.66,-17.92,64.4,14.99
77,governador valadares,12,BR,1548700811,57,-18.85,-41.95,88.86,7.2
78,sao filipe,92,CV,1548700709,82,14.9,-24.5,76.31,17.05
79,rundu,32,NA,1548700913,79,-17.91,19.77,73.16,5.53
80,karachi,0,PK,1548696300,55,24.87,67.03,62.6,5.82
81,bluff,92,AU,1548700723,74,-23.58,149.07,75.36,14.03
82,vilyuysk,48,RU,1548700914,78,63.75,121.63,-18.15,3.18
83,cap malheureux,75,MU,1548698400,88,-19.98,57.61,78.8,5.41
84,hope,75,CA,1548698400,56,49.38,-121.43,41.0,17.22
85,chokurdakh,64,RU,1548700711,42,70.62,147.9,-26.97,11.12
86,ribeira grande,40,PT,1548698400,77,38.52,-28.7,60.8,8.05
87,rawson,8,AR,1548700787,25,-43.3,-65.11,89.81,17.83
88,pisco,40,PE,1548698400,30,-13.71,-76.2,71.6,11.41
89,tiznit,0,MA,1548700676,80,29.7,-9.73,60.06,3.4
90,viedma,0,AR,1548700915,34,-40.81,-62.99,87.02,4.29
91,griffith,76,AU,1548698400,94,-34.29,146.06,71.6,2.24
92,nha trang,0,VN,1548698400,78,12.24,109.19,73.4,5.82
93,codrington,92,AU,1548698400,93,-28.95,153.24,69.8,5.82
94,beringovskiy,56,RU,1548700717,100,63.05,179.32,-2.81,4.18
95,san luis,20,AR,1548700826,40,-33.3,-66.34,97.73,3.62
96,sur,0,OM,1548700918,100,22.57,59.53,69.96,14.7
97,talara,90,PE,1548698400,290,-4.58,-81.27,62.6,6.93
98,srandakan,24,ID,1548700919,94,-7.94,110.25,72.44,3.62
99,upernavik,68,GL,1548700743,100,72.79,-56.15,10.25,8.88
100,airai,76,TL,1548700722,91,-8.93,125.41,70.55,0.94
101,kyshtovka,24,RU,1548700920,68,56.56,76.62,-14.78,8.99
102,taltal,0,CL,1548700920,73,-25.41,-70.49,72.75,4.41
103,sharlyk,32,RU,1548700920,77,52.93,54.74,7.1,11.68
104,arraial do cabo,0,BR,1548698400,66,-22.97,-42.02,89.6,21.92
105,kapaa,75,US,1548698460,56,22.08,-159.32,69.98,17.22
106,east london,75,ZA,1548698400,83,-33.02,27.91,71.6,20.8
107,tiarei,40,PF,1548698400,83,-17.53,-149.33,80.6,19.46
108,nampula,40,MZ,1548698400,74,-15.12,39.26,78.8,6.93
109,baykit,44,RU,1548700794,63,61.68,96.39,-14.87,10.22
110,vardo,1,US,1548699600,27,39.62,-77.74,35.6,5.82
111,walvis bay,0,NA,1548698400,68,-22.95,14.51,68.0,11.41
112,chuy,12,UY,1548700796,100,-33.69,-53.46,81.44,5.75
113,ancud,75,CL,1548698400,63,-41.87,-73.83,66.2,14.99
114,geraldton,20,CA,1548698400,45,49.72,-86.95,-18.41,4.7
115,komsomolskiy,80,RU,1548700925,75,67.55,63.78,-3.39,11.45
116,tuapse,24,RU,1548700926,100,44.1,39.07,38.55,2.51
117,prudentopolis,80,BR,1548700926,61,-25.21,-50.98,83.51,5.41
118,mahebourg,75,MU,1548698400,88,-20.41,57.7,78.8,3.85
119,pacific grove,1,US,1548699600,71,36.62,-121.92,55.04,4.85
120,pathein,0,MM,1548700926,88,16.78,94.73,69.83,7.43
121,progreso,20,UY,1548698400,63,-34.68,-56.22,91.4,12.75
122,yellowknife,20,CA,1548698400,66,62.45,-114.38,-31.01,3.29
123,huilong,92,CN,1548700927,98,28.89,110.18,36.03,3.06
124,jamestown,0,AU,1548700618,87,-33.21,138.6,53.13,2.62
125,concordia,40,AR,1548698400,63,-31.4,-58.02,93.2,11.41
126,port elizabeth,1,US,1548698160,36,39.31,-74.98,35.06,6.93
127,la ronge,20,CA,1548698400,57,55.1,-105.3,-11.21,18.34
128,zhezkazgan,32,KZ,1548700928,62,47.8,67.71,3.63,17.83
129,lagoa,40,PT,1548698400,67,37.14,-8.45,59.0,9.17
130,puerto quijarro,40,BO,1548698400,59,-19.0,-57.72,91.4,5.82
131,katsuura,75,JP,1548698400,60,33.93,134.5,42.8,14.99
132,mehamn,0,NO,1548697800,66,71.03,27.85,17.6,21.92
133,longyearbyen,75,NO,1548697800,73,78.22,15.63,21.2,10.29
134,colares,75,PT,1548698400,82,38.8,-9.45,55.4,16.11
135,atuona,44,PF,1548700693,100,-9.8,-139.03,79.64,18.28
136,priiskovyy,20,RU,1548700700,42,51.93,116.63,-7.17,7.76
137,hornepayne,0,CA,1548700930,27,49.22,-84.78,-19.19,3.62
138,clyde river,90,CA,1548698400,83,70.47,-68.59,-7.61,21.92
139,burnie,0,AU,1548700930,100,-41.05,145.91,64.43,8.55
140,kaitangata,0,NZ,1548700742,78,-46.28,169.85,49.53,2.95
141,mackay,75,CA,1548698400,79,53.65,-115.58,21.2,8.05
